aamuiseel,/ˈɑːmui̯selːɑ/,/ˈɑːmui̯seːlːæ/
aijaa,/ˈɑjɑː/,/ˈɑi̯jɑː/
ain,/ˈɑi̯n/,/ˈɑi̯ne/
aikointaikoin,/ˈɑi̯koi̯n ˈtɑi̯koi̯n/,/ˈɑi̯koi̯ntɑi̯koi̯ne/
aista,/ˈɑistɑ/,/ˈɑi̯stɑ/
al,/ˈɑlːɑ/,/ˈɑl/
alaspäin,/ˈɑlɑspæi̯/,/ˈɑlɑspæi̯ne/
allaalt,/ˈɑlɑːltɑ/,/ˈɑlːɑːltɑ/
ankkuriis,/ˈɑŋkːurisːɑ/,/ˈɑŋkːuriːs/
arhirei,/ˈɑrhirei̯/,/ˈɑrirei̯/
arkaloontoin,/ˈɑrkɑloːntoi̯ne/,/ˈɑrkɑloːntoi̯n/
aula,/ˈɑulɑ/,/ˈɑu̯lɑ/
avvain,/ˈɑʋɑi̯ne/,/ˈɑʋːɑi̯ne/
bronha,/ˈbronhɑ/,/ˈbronɑ/
dai,/ˈdɑi/,/ˈdɑi̯/
eik,/ˈei̯kæ/,/ˈei̯k/
ellää,/ˈelæː/,/ˈelːæː/
ennää,/ˈenæː/,/ˈenːæː/
erittäin,/ˈeritːæi̯n/,/ˈeritːæi̯ne/
erityin,/ˈerityi̯ne/,/ˈerityi̯n/
erroissa,/ˈeroi̯sːɑ/,/ˈerːoi̯sːɑ/
etemp,/ˈetemp/,/ˈetempi/
ettee,/ˈeteː/,/ˈetːeː/
etähääl,/ˈetæːlːæ/,/ˈetæhæːlːæ/
eus,/ˈeus/,/ˈeu̯s/
etähält,/ˈetæːltæ/,/ˈetæhæltæ/
gluuhhoi,/ˈɡluːxːoi̯/,/ˈɡluːhːoi̯/
haijoissa,/ˈhɑjoi̯sːɑ/,/ˈhɑi̯joi̯sːɑ/
hallia,/ˈhɑlːiɑ/,/ˈhɑliɑ/
hanhi,/ˈhɑne/,/ˈhɑni/
harvoin,/ˈhɑrʋoi̯n/,/ˈhɑrʋoi̯ne/
helliä,/ˈhelːijæ/,/ˈheliæ/
heppoin,/ˈhepːoi̯n/,/ˈhepːoi̯ne/
hers,/ˈhirsi/,/ˈhers/
hiirenherne,/ˈhiːrenherne/,/ˈhiːrenerne/
hiirenheinä,/ˈhiːrenhei̯næ/,/ˈhiːrenei̯næ/
hittoa,/ˈhitoɑ/,/ˈhitːoɑ/
hoomukseel,/ˈhoːmukselːæ/,/ˈhoːmukseːlːæ/
hoolia,/ˈhoːlijɑ/,/ˈhoːliɑ/
hopiain,/ˈhopiɑi̯ne/,/ˈhopijɑi̯ne/
hullust,/ˈhulːustɑ/,/ˈhulːus/
